2013-1101; I § 15, stk. 3, udgår », 12 uger i 2011 og 8 uger i 2012«.
2013-1313; I lovens titel ændres »kunstig befrugtning« til: »assisteret reproduktion«.
2013-1313; Overalt i loven ændres »Kunstig befrugtning« til: »Assisteret reproduktion«, og »kunstig befrugtning« til: »assisteret reproduktion«.
2013-1313; I § 15, stk. 1, indsættes som 2. og 3. pkt.:
2013-1313; § 17, stk. 1, affattes således:
2013-1313; § 20, stk. 1, affattes således:
2013-1313; I § 23, stk. 1, 1. pkt., indsættes efter »ægtefælle«: », registrerede partner«.
2013-1313; § 13 affattes således:
2013-1313; § 17 affattes således:
2013-1313; I § 21, stk. 1, nr. 1, ændres »§ 13, stk. 1-4« til: »§ 13, stk. 1-4 og 7«.
2013-1313; Overalt i loven ændres »kunstig befrugtning« til: »assisteret reproduktion«.
2013-1313; §§ 27 og 28 ophæves, og i stedet indsættes:
2013-1313; I § 19, stk. 2, ændres »kunstig befrugtning« til: »assisteret reproduktion«.
2013-1313; § 456 i, stk. 2, affattes således:
2013-1313; § 1, nr. 32, ophæves.
2013-1313; § 6, nr. 10, ophæves.
2013-1313; § 9, stk. 1-3, ophæves.
2013-1346; Efter kapitel 9 a indsættes:
2013-1347; I § 6, stk. 4, ændres », andelskasser og sammenslutninger af andelskasser efter §§ 89-96 i lov om finansiel virksomhed« til: »og andelskasser«.
2013-1347; I § 14, nr. 3, udgår »og sammenslutninger af andelskasser efter §§ 89-96 i lov om finansiel virksomhed«.
2013-1347; I § 14 g, stk. 1, udgår »og sammenslutninger heraf«.
2013-1347; I § 14 g, stk. 2, 1. pkt., udgår »eller medlemsandelskassernes«.
2013-1347; I § 14 g, stk. 2, 1. pkt., udgår to steder »eller sammenslutningen«.
2013-1347; I § 14 g, stk. 4, 1. pkt., ændres »andelskasser m.v.« til: »andelskasser.«
2013-1347; I § 15, stk. 4, 6. pkt., ændres »EU« til: »EU/EØS«.
2013-1347; I § 15 indsættes efter stk. 4 som nyt stykke:
2013-1347; I § 15, stk. 5, 1. pkt., der bliver stk. 6, 1. pkt., indsættes efter »stk. 4«: »og 5«.
2013-1347; I § 15 a, stk. 1, 10. pkt., ændres »EU« til: »EU/EØS«.
2013-1347; I § 15 a indsættes efter stk. 6 som nyt stykke:
2013-1347; I § 15 c indsættes efter stk. 7 som nye stykker:
2013-1347; I § 1, stk. 1, nr. 2 a, udgår », sammenslutninger af andelskasser efter §§ 89-96 i lov om finansiel virksomhed«.
2013-1347; I § 1, stk. 1, nr. 2 h, 1. pkt., ændres »behandler og transporterer« til: »behandler eller transporterer«.
2013-1347; I § 3, stk. 1, nr. 17, ændres »Industrialiseringsfonden for Udviklingslandene, Investeringsfonden for Østlandene og Investeringsfonden for Vækstmarkeder« til: »Investeringsfonden for Udviklingslande og Investeringsfonden for Østlandene«.
2013-1347; § 8, stk. 7, affattes således:
2013-1347; § 13 D, stk. 1 og 2, affattes således:
2013-1347; I § 13 E ændres »Energinet.dk’s elektricitetsrelaterede« til: »Energinet.dk’s og virksomhedens datterselskabers elektricitetsrelaterede«.
2013-1347; Efter § 13 H indsættes:
2013-1347; I § 1, stk. 1, indsættes som 3. pkt.:
