2016-1; § 13 ophæves.
2016-102; Overalt i loven ændres »Styrelsen for Arbejdsmarked og Rekruttering« til: »Styrelsen for International Rekruttering og Integration«.
2016-102; I § 2 a, stk. 2, ændres »§ 19, stk. 3 og 4« til: »§ 19, stk. 4 og 5«.
2016-102; I § 2 a, stk. 5, § 9 f, stk. 4, 2. pkt., § 28, stk. 7, § 30, stk. 2, 2. pkt., § 41, § 42, stk. 1, 1. pkt., og stk. 3, § 44, stk. 1, og § 47 a, stk. 1, ændres »Justitsministeren« til: »Udlændinge-, integrations- og boligministeren«.
2016-102; I § 4 e, stk. 3, ændres »Ministeren« til: »Udlændinge-, integrations- og boligministeren«.
2016-102; § 8, stk. 4, 1. pkt., affattes således:
2016-102; § 8, stk. 4, 2. pkt., ophæves.
2016-102; § 9, stk. 1, nr. 1, litra d, affattes således:
2016-102; § 9, stk. 1, nr. 2, litra d, affattes således:
2016-102; § 9, stk. 1, nr. 3, litra d, affattes således:
2016-102; I § 9, stk. 13, ændres »§ 11, stk. 10 og 11 eller 14« til: »§ 11, stk. 12 og 13 eller 16«, og »og 15« udgår.
2016-102; I § 9, stk. 14, ændres »§ 11, stk. 11« til: »§ 11, stk. 13«.
2016-102; I § 9 a, stk. 17, nr. 1, ændres »§ 9 h, stk. 2« til: »§ 9 h, stk. 1«.
2016-102; I § 9 c, stk. 4, § 47, stk. 2, 4. pkt., § 48, 5., 7. og 8. pkt., § 56 a, stk. 1, 3. og 4. pkt., og § 56 a, stk. 11, 1. pkt., ændres »justitsministeren« til: »udlændinge-, integrations- og boligministeren«.
2016-102; I § 9 g, stk. 4, ændres »Beskæftigelsesministeren« til: »Udlændinge-, integrations- og boligministeren«, og »§ 9 a og §§ 9 i-9 n og 9 p« ændres til: »§§ 9 a, 9 f, 9 i-9 n og 9 p«.
2016-102; § 9 g, stk. 5, ophæves.
2016-102; § 9 h, stk. 1 og 2, affattes således:
2016-102; I § 9 h, stk. 4, 1. pkt., ændres »stk. 2« til: »stk. 1, nr. 4-9 og 12-14,«, »styrelsens« ændres til: »Styrelsen for International Rekruttering og Integrations«, og efter 1. pkt. indsættes:
2016-102; I § 9 h, stk. 5, 1. og 2. pkt., ændres »stk. 1-3« til: »stk. 1 eller 3«.
2016-102; § 9 h, stk. 7, affattes således:
2016-102; I § 9 h, stk. 8, 1. pkt., ændres »stk. 2 og 3« til: »stk. 1 og 3«, og »jf. stk. 2« ændres til: »jf. stk. 1«.
2016-102; § 9 h, stk. 8, 4. pkt., ophæves.
2016-102; I § 9 h, stk. 13, 1. pkt., udgår »1,« og »og stk. 8, 4. pkt.«
2016-102; I § 9 h, stk. 13, 2. pkt., ændres »stk. 2 og 3« til: »stk. 1, nr. 4-9 og 12-14, og stk. 3«, og efter 2. pkt. indsættes:
2016-102; I § 9 h, stk. 14, ændres »stk. 2 og 3« tre steder til: »stk. 1 og 3«, og »stk. 8 og 11« ændres til: »stk. 7, 8 og 11«.
2016-102; I § 9 h, stk. 14, § 9 k, stk. 4, § 9 m, stk. 4, og § 9 n, stk. 4, ændres »Beskæftigelsesministeren« til: »Udlændinge-, integrations- og boligministeren«.
2016-102; § 9 h, stk. 15, ophæves.
2016-102; I § 11, stk. 3, nr. 1, ændres »jf. dog stk. 4« til: »jf. dog stk. 7«, og »5 år« ændres til: »6 år, jf. dog stk. 5 og 6,«.
2016-102; I § 11, stk. 3, nr. 2, ændres »mindst 1 år og 6 måneders fængsel« til: »mindst 1 års fængsel«.
2016-102; I § 11, stk. 3, nr. 3, indsættes efter »kapitel 12 eller 13«: »eller §§ 210, 216 og 222-224, § 225, jf. § 216, eller §§ 244-246«.
2016-102; I § 11, stk. 3, nr. 7, ændres »Prøve i Dansk 1« til: »Prøve i Dansk 2«.
2016-102; I § 11, stk. 3, nr. 8, udgår »under uddannelse eller«, »beskæftigelse« ændres til: »fuldtidsbeskæftigelse«, »stk. 5 og 6« ændres til: »stk. 8«, og »3 år inden for de sidste 5 år« ændres til: »2 år og 6 måneder inden for de sidste 3 år«.
2016-102; I § 11, stk. 3, nr. 9, udgår »eller være under uddannelse«.
2016-102; I § 11 indsættes efter stk. 3 som nye stykker:
2016-102; I § 11, stk. 4, der bliver stk. 7, ændres », om en udlænding lovligt har boet her i landet i mindst 5 år, jf. stk. 3, nr. 1« til: »den periode, hvor udlændingen har boet lovligt her i landet, jf. stk. 3, nr. 1, og stk. 5«.
2016-102; I § 11, stk. 4, nr. 3, der bliver stk. 7, nr. 3, ændres »stk. 5, nr. 5, eller stk. 6, nr. 3« til: »stk. 8, nr. 4«.
2016-102; I § 11, stk. 5, der bliver stk. 8, ændres »3 år inden for de seneste 5 år« til: »2 år og 6 måneder inden for de seneste 3 år«.
2016-102; § 11, stk. 5, nr. 2, der bliver stk. 8, nr. 2, ophæves.
2016-102; I § 11, stk. 5, nr. 4, der bliver stk. 8, nr. 3, ændres »nr. 3« til: »nr. 2«.
2016-102; § 11, stk. 6, ophæves.
2016-102; I § 11, stk. 10, der bliver stk. 12, ændres »jf. dog stk. 14« til: »jf. dog stk. 16«.
2016-102; I § 11, stk. 11, der bliver stk. 13, indsættes efter »stk. 3, nr. 1, 5, 6, 8 og 9,«: »og stk. 4, nr. 1-4,«.
2016-102; I § 11, stk. 12, der bliver stk. 14, ændres »de sidste 5 år« til: »de sidste 3 år«, »3 år« ændres til: »2 år og 6 måneder«, og efter 1. pkt. indsættes:
2016-102; I § 11, stk. 14, der bliver stk. 16, indsættes efter »stk. 3, nr. 4-9,«: »eller stk. 4, nr. 1-4,«.
2016-102; § 11, stk. 15, ophæves.
2016-102; I § 11 a, stk. 1, ændres »3 år« til: »4 år og 6 måneder«.
2016-102; I § 11 a, stk. 2, nr. 1, ændres »8 år« til: »12 år«.
2016-102; I § 11 a, stk. 2, nr. 2, ændres »1 år og 6 måneder« til: »1 år«, og »12 år« ændres til: »18 år«.
2016-102; I § 11 a, stk. 4, nr. 1, ændres »4 år« til: »6 år«, og »6 år« ændres til: »9 år«.
2016-102; I § 11 a, stk. 4, nr. 2, ændres »8 år« til: »12 år«, og »10 år« ændres til: »15 år«.
2016-102; I § 11 a, stk. 4, nr. 3, ændres »20 år« til: »30 år«.
2016-102; I § 11 a, stk. 6, ændres »2 år« til: »3 år«.
2016-102; I § 11 b ændres »10 år« til: »15 år«, og »15 år« ændres til: »22 år og 6 måneder«.
2016-102; I § 12, stk. 1, og § 44, stk. 3, ændres »Justitsministeren« til: »Udlændinge-, integrations- og boligministeren«, og »§§ 7-9 og 9 b-9 f« ændres til: »§§ 7-9 f, 9 i-9 n og 9 p«.
2016-102; § 12, stk. 2, og § 44, stk. 4, ophæves.
2016-102; I § 15, stk. 2, ændres »Beskæftigelsesministeren« til: »Udlændinge-, integrations- og boligministeren«, og », jf. dog stk. 3« udgår.
2016-102; § 15, stk. 3, ophæves.
2016-102; I § 19, stk. 2, nr. 4, 2. pkt., ophæves.
2016-102; I § 19 indsættes efter stk. 2 som nyt stykke:
2016-102; I § 27, stk. 1, indsættes efter »§ 11, stk. 3, nr. 1,«: »og stk. 5,«.
2016-102; I § 27 a ændres »Justitsministeriets« til: »Udlændinge-, Integrations- og Boligministeriets«, og »Justitsministeriet« ændres til: »Udlændinge-, Integrations- og Boligministeriet«.
2016-102; I § 30, stk. 4, § 44 a, stk. 5, § 45 a, stk. 1 og 2, og § 45 c, stk. 1, ændres »Justitsministeriet, Beskæftigelsesministeriet« til: »Udlændinge-, Integrations- og Boligministeriet«.
2016-102; I § 34, stk. 2, nr. 4, ændres »stk. 9, 2. pkt.,« til: »stk. 8, 2. pkt.,«.
2016-102; I § 34 a, stk. 1 og stk. 5, 1. pkt., ændres »§ 42 a, stk. 9,« til: »§ 42 a, stk. 8,«.
2016-102; I § 34 a, stk. 1, ændres »§ 42 a, stk. 10,« til: »§ 42 a, stk. 9,«.
2016-102; I § 36, stk. 2, 1. pkt., ændres »stk. 9, 2. pkt.,« til: »stk. 8, 2. pkt.,«.
2016-102; I § 36, stk. 6, ændres »stk. 9, 2. pkt., og stk. 12« til: »stk. 8, 2. pkt., og stk. 11«.
2016-102; I § 37 e, stk. 2, 1. pkt., ændres »justitsministeren, beskæftigelsesministeren« til: »udlændinge-, integrations- og boligministeren«.
2016-102; I § 38, stk. 3, 1. pkt., ændres »justitsministeren« til: »udlændinge-, integrations- og boligministeren«.
2016-102; I § 38, stk. 3, 2. pkt., stk. 4, stk. 7, 2. pkt., og stk. 9, ændres »Justitsministeren« til: »Udlændinge-, integrations- og boligministeren«.
2016-102; I § 39, stk. 1, ændres »justitsministerens« til: »udlændinge-, integrations- og boligministerens«.
2016-102; I § 39, stk. 2, 1. og 2. pkt., stk. 3, 3. og 4. pkt., stk. 4, 2. pkt., og stk. 5, 1. pkt., ændres »Justitsministeren« til: »Udlændinge-, integrations- og boligministeren«.
2016-102; I § 40, stk. 4, udgår »eller i tilknytning til«.
2016-102; I § 40, stk. 9, indsættes efter 1. pkt.:
2016-102; I § 40 a, stk. 2, nr. 6, ændres »stk. 9, 1. og 2. pkt.,« til: »stk. 8, 1. og 2. pkt.,«.
2016-102; I § 40 d ændres »Justitsministeriets« til: »Udlændinge-, Integrations- og Boligministeriets«.
2016-102; § 42 a, stk. 4, 1. pkt., ophæves.
2016-102; I § 42 a, stk. 4, 2. pkt., der bliver stk. 4, 1. pkt., udgår »endvidere« og »eller i tilknytning til«.
2016-102; I § 42 a, stk. 4, indsættes som 2. og 3. pkt.:
2016-102; § 42 a, stk. 8, ophæves.
2016-102; I § 42 a, stk. 10, der bliver stk. 9, ændres »stk. 9« til: »stk. 8«.
2016-102; I § 42 a, stk. 11, nr. 3, der bliver stk. 10, nr. 3, ændres »stk. 9, 1. pkt.,« til: »stk. 8, 1. pkt.,«.
2016-102; I § 42 a, stk. 13, der bliver stk. 12, ændres »stk. 11 eller 12« til: »stk. 10 eller 11«.
2016-102; I § 42 a, stk. 15, 1. pkt., der bliver stk. 14, 1. pkt., ændres »stk. 11 og 12« til: »stk. 10 og 11«.
2016-102; I § 42 b, stk. 2, nr. 1, ændres »32,23« til: »39,05«.
2016-102; I § 42 b, stk. 2, nr. 2, ændres »40,71« til: »49,32«.
2016-102; I § 42 b, stk. 2, nr. 3, ændres »40,71« til: »49,32«.
2016-102; I § 42 b, stk. 2, nr. 4, ændres »40,71« til: »49,32«.
2016-102; I § 42 b, stk. 4, ændres »64,46« til: »78,09«, og »23,75« ændres til: »28,78«.
2016-102; I § 42 b, stk. 5, ændres »47,50« til: »57,55«, og »6,79« ændres til: »8,23«.
2016-102; I § 42 b, stk. 6, 1. pkt., ændres »33,93« til: »41,11«.
2016-102; I § 42 b, stk. 10, 1. pkt., ændres »23,75« til: »28,78«, og i 2. pkt. ændres »6,79« til: »8,23«.
2016-102; I § 42 b, stk. 12, 3. pkt., ændres »40,71« til: »49,32«.
2016-102; I § 42 b, stk. 17, ændres »2003-beløb« til: »2016-beløb«, og »2004« ændres til: »2017«.
2016-102; I § 42 l, stk. 1, udgår »eller få tilbud om en selvstændig bolig i tilknytning til et indkvarteringssted omfattet af § 42 a, stk. 5«.
2016-102; I § 42 l, stk. 4, 1. og 3. pkt., udgår »eller indkvartering i selvstændig bolig«.
2016-102; I § 44 a, stk. 8, ændres »Justitsministeren og beskæftigelsesministeren kan i forening efter aftale med økonomi- og indenrigsministeren« til: »Udlændinge-, integrations- og boligministeren kan efter aftale med social- og indenrigsministeren«.
2016-102; To steder i § 44 a, stk. 9, indsættes efter »Udlændingestyrelsen«: », Styrelsen for International Rekruttering og Integration«.
2016-102; I § 45 og § 47, stk. 2, 2. pkt., ændres »justitsministeren eller beskæftigelsesministeren« til: »udlændinge-, integra­ti‌ons- og boligministeren«.
2016-102; I § 46, stk. 1, ændres »stk. 2-5« til: »stk. 2-4«.
2016-102; I § 46, stk. 2, 1. pkt., indsættes efter »§ 9 h, stk. 8, 1. pkt.,«: »jf. § 9 h, stk. 1, nr. 4-9 og 12-14, og stk. 3,«.
2016-102; I § 46, stk. 4, ændres »Styrelsen for Arbejdsmarked og Rekruttering« til: »Styrelsen for International Rekruttering og Integration eller Udlændingestyrelsen«, og »stk. 2 og 3« ændres til: »stk. 1 og 3«.
2016-102; § 46, stk. 5, ophæves.
2016-102; I § 46, stk. 6 og 7, der bliver stk. 5 og 6, ændres »§ 11, stk. 3-7, 10, 12 og 14« til: »§ 11, stk. 3-9, 12, 14 og 16«.
2016-102; I § 46 a, stk. 1, 1. pkt., ændres »§ 9 h, stk. 7, 1. pkt.« til: »§ 9 h, stk. 8, 1. pkt.«, »§ 11, stk. 8« ændres til: »§ 11, stk. 10«, og »§ 42 a, stk. 9, 1. og 2. pkt.,« ændres til: »§ 42 a, stk. 8, 1. og 2. pkt.,«.
2016-102; I § 46 a, stk. 2, 2. pkt., ændres »stk. 2 og 3« til: »stk. 1 og 3«.
2016-102; I § 46 a, stk. 5, ændres »Justitsministeren« til: »Udlændinge-, integrations- og boligministeren«, og efter »§ 46, stk. 1« indsættes: », og Styrelsen for International Rekruttering og Integrations behandling af de sager, der er omfattet af stk. 2 og § 46, stk. 2«.
2016-102; § 46 a, stk. 6, ophæves.
2016-102; I § 46 b ændres », beskæftigelsesministeren og justitsministeren« til: »og udlændinge-, integrations- og boligministeren«.
2016-102; I § 46 g, stk. 1 og 2, ændres »Justitsministeriet« til: »Udlændinge-, Integrations- og Boligministeriet«.
2016-102; I § 47, stk. 2, 1. pkt., ændres »justitsministeren og udenrigsministeren samt mellem beskæftigelsesministeren og udenrigsministeren« til: »udlændinge-, integrations- og boligministeren og udenrigsministeren«, og 3. pkt. ophæves.
2016-102; I § 47, stk. 3, 1. pkt., og § 47 a, stk. 2, ændres »Justitsministeren og beskæftigelsesministeren kan hver for sig« til: »Udlændinge-, integrations- og boligministeren kan«.
2016-102; I § 48, 3. pkt., indsættes efter »genstande«: »og aktiver, der kan anvendes til dækning af de i § 42 a, stk. 4, 1. pkt., nævnte udgifter,«.
2016-102; I § 52 a, stk. 2, 2. pkt., ændres »Justitsministeriet eller Beskæftigelsesministeriet« til: »Udlændinge-, Integrations- og Boligministeriet«.
2016-102; I § 52 a, stk. 3, 4. pkt., ændres »der gør tjeneste i Justitsministeriet, beskikkes efter indstilling fra justitsministeren, og de medlemmer, der gør tjeneste i Beskæftigelsesministeriet, beskikkes efter indstilling fra beskæftigelsesministeren« til: »der gør tjeneste i Udlændinge-, Integrations- og Boligministeriet, beskikkes efter indstilling fra udlændinge-, integrations- og boligministeren«.
2016-102; I § 52 a, stk. 6, 1. pkt., ændres »Justitsministeriet, hvis klagen hører under Justitsministeriets område, eller et medlem, der gør tjeneste i Beskæftigelsesministeriet, hvis klagen hører under Beskæftigelsesministeriets område« til: »Udlændinge-, Integrations- og Boligministeriet«.
2016-102; I § 52 a, stk. 7, 1. pkt., ændres »Justitsministeriet eller i Beskæftigelsesministeriet« til: »Udlændinge-, Integrations- og Boligministeriet«.
2016-102; § 52 a, stk. 7, 2. og 3. pkt., ophæves.
2016-102; I § 60, stk. 1, ændres »§ 42 a, stk. 9, 1. og 2. pkt.,« til: »§ 42 a, stk. 8, 1. og 2. pkt.,«.
2016-103; Kapitel 2 ophæves.
2016-103; §§ 33-35 ophæves.
2016-103; § 63, stk. 1, ophæves.
2016-103; § 63, stk. 2, 1. og 2. pkt., der bliver stk. 1, 1. og 2. pkt., ophæves.
2016-103; I § 68, stk. 1, 1. pkt., og stk. 2, udgår », forældremyndighed og samværsret«.
2016-103; I § 1 indsættes som nr. 20:
2016-103; § 279, stk. 1, 1. pkt., affattes således:
2016-103; § 280, nr. 2-6, affattes således:
2016-103; I § 283, stk. 2, indsættes efter »forældremyndighed«: », barnets bopæl, samvær, anden kontakt eller tilladelse til udlandsrejse«.
2016-103; I § 284, stk. 1, indsættes efter »Sag«: »om ægteskab«.
2016-103; I § 284 indsættes efter stk. 1 som nyt stykke:
2016-103; I § 286 ændres »eller forældremyndighed« til: », forældremyndighed, barnets bopæl, samvær, anden kontakt eller tilladelse til udlandsrejse«.
2016-103; § 287, 1. pkt., affattes således:
2016-103; I § 290, stk. 1, ændres »eller forældremyndighed« til: », forældremyndighed, barnets bopæl, samvær, anden kontakt eller tilladelse til udlandsrejse«.
2016-103; I § 598, stk. 1, indsættes efter nr. 3 som nyt nummer:
2016-103; I § 598, stk. 1, nr. 6, der bliver nr. 7, ændres »nr. 5« til: »nr. 6«.
2016-103; I § 598, stk. 6, og § 599, stk. 4, 1. pkt., ændres »nr. 4-7« til: »nr. 5-8«.
2016-103; § 599, stk. 5, affattes således:
2016-103; I § 631, stk. 1, 1. pkt., ændres »og udøvelse af samværsret« til: », barnets bopæl og samvær«.
2016-103; I § 631, stk. 1, indsættes efter 2. pkt.:
2016-103; I § 631, stk. 2, 2. pkt., ændres »samværsrettens« til: »samværets«.
2016-103; I § 631, stk. 3, 2. pkt., ændres to steder »samværsret« til: »samvær«.
2016-103; I § 631 indsættes som stk. 4:
2016-103; I § 632, stk. 2, 1. pkt., og § 723, nr. 6, indsættes efter »forældremyndighed«: », barnets bopæl«.
2016-103; I § 76 indsættes som stk. 2:
2016-110; § 3 A ophæves.
2016-110; I § 4 A, stk. 1, 1. pkt., og § 12, stk. 4, ændres »§§ 3-4« til: »§§ 3 og 4«.
2016-110; I § 4 A, stk. 2, 1. pkt., og § 5, 1. pkt., ændres »§§ 3, 3 A eller 4« til: »§§ 3 eller 4«.
2016-111; I § 4 indsættes som stk. 2:
2016-116; I § 1, stk. 5, ændres »tilsvarende forpligtelser og rettigheder« til: »en tilsvarende forpligtelse«.
2016-116; I § 3, stk. 1, 2. pkt., ændres »§ 5 a, stk. 2 og stk. 4-6,« til: »§ 5 a, stk. 1 og 2,«.
2016-116; I § 5 a, stk. 1, 1. pkt., ændres »til virksomheden for hele eller dele af virksomheden« til: »for det foregående år for hele eller dele af virksomheden til brug for information og høring af lønmodtagerne om lønforskelle mellem mænd og kvinder på virksomheden«, »lønmodtagere svarende til mindst ti fuldtidsbeskæftigede« ændres til: »mindst 35 lønmodtagere«, og »tre mænd og tre kvinder« ændres til: »10 af hvert køn med samme arbejdsfunktion, jf. stk. 3«.
2016-116; I § 5 a, stk. 1, 3. pkt., udgår »jf. stk. 4,«.
2016-116; I § 5 a, stk. 2, indsættes efter »En virksomhed skal«: »inden den 31. december hvert år selv«, »et kalenderår« ændres til: »det foregående år til brug for information og høring af lønmodtagerne om lønforskelle mellem mænd og kvinder«, »det pågældende år« ændres til: »det foregående år«, »lønmodtagere svarende til mindst ti fuldtidsbeskæftigede« ændres til: »mindst 35 lønmodtagere«, og »tre mænd og tre kvinder« ændres til: »10 af hvert køn med samme arbejdsfunktion, jf. stk. 3«.
2016-116; I § 5 a, stk. 2, nr. 1, ændres »ikke har overholdt« til: »ikke har pligt til at indberette lønoplysninger eller ikke har overholdt«, og efter »jf. lov om Danmarks Statistik,« indsættes: »dog ikke virksomheder i brancherne landbrug, jagt, skovbrug og fiskeri,«.
2016-116; § 5 a, stk. 3, affattes således:
2016-116; § 5 a, stk. 4-7, ophæves, og i stedet indsættes:
2016-116; I § 5 a, stk. 8, 1. pkt., der bliver stk. 6, 1. pkt., ændres »stk. 2-6« til: »stk. 2-4«.
2016-116; I § 6 b, stk. 1, ændres »§ 5 a, stk. 2, 4, 6 eller 7« til: »§ 5 a, stk. 1, 2 eller 5«.
2016-119; § 5 a og § 6, stk. 2 og 3, ophæves.
2016-119; (Ophævet)
2016-119; § 15 affattes således:
2016-119; § 17 affattes således:
2016-119; Overskriften til kapitel 5 affattes således:
2016-119; (Ophævet)
2016-129; I § 82 a, stk. 1, 2. pkt., ændres »regionsrådene« til: »Danske Regioner«.
2016-129; I § 87, stk. 4, ændres »Regionsrådene i forening« til: »Danske Regioner«.
2016-129; I § 87 indsættes efter stk. 4 som nyt stykke:
2016-129; I § 87 i, stk. 1, ændres »regionsrådene i forening« til: »Danske Regioner«.
