#TYPE System.Management.Automation.PSCustomObject
"Text";"Number";"Year";"Title";"DocType"
"I lov nr. 595 af 12. juni 2013 om vikarers retsstilling ved udsendelse af et vikarbureau m.v. foretages følgende ændring:";"595";"2013";"Lov om vikarers retsstilling ved udsendelse af et vikarbureau m.v.";"lov"
"I lov nr. 106 af 26. februar 2008 om Arbejdsretten og faglige voldgiftsretter, som ændret ved lov nr. 343 af 17. april 2012 og § 3 i lov nr. 472 af 13. maj 2013, foretages følgende ændringer:";"106";"2008";"Lov om Arbejdsretten og faglige voldgiftsretter";"lov"
"I lov nr. 1333 af 19. december 2008 om inddrivelse af gæld til det offentlige, som ændret bl.a. ved § 2 i lov nr. 593 af 18. juni 2012 og senest ved § 1 i lov nr. 1499 af 18. december 2013, foretages følgende ændringer:";"1333";"2008";"Lov om inddrivelse af gæld til det offentlige, som ændret bl.a. ved § 2 i lov nr. 593 af 18. juni 2012 og senest ved § 1 i lov nr. 1499 af 18. december 2013,";"lov"
"I lov nr. 403 af 8. maj 2006 om et indkomstregister, som ændret bl.a. ved § 3 i lov nr. 593 af 18. juni 2012 og senest ved § 10 i lov nr. 720 af 25. juni 2014, foretages følgende ændringer:";"403";"2006";"Lov om et indkomstregister, som ændret bl.a. ved § 3 i lov nr. 593 af 18. juni 2012 og senest ved § 10 i lov nr. 720 af 25. juni 2014,";"lov"
"I lov nr. 1131 af 4. december 2009 om indgåelse af protokoller om ændring af dobbelt­beskat­nings­over­ens­komster mellem Danmark og henholdsvis Belgien, Luxembourg, Singapore og Østrig foretages følgende ændringer:";"1131";"2009";"Lov om indgåelse af protokoller om ændring af dobbelt­beskat­nings­over­ens­komster mellem Danmark og henholdsvis Belgien, Luxembourg, Singapore og Østrig";"lov"
"I lov nr. 720 af 25. juni 2014 om ændring af lov om sygedagpenge, lov om en aktiv beskæftigelsesindsats, lov om ansvaret for og styringen af den aktive beskæftigelsesindsats, lov om arbejdsløshedsforsikring m.v. og forskellige andre love (Ny sygedagpengemodel med tidlig opfølgning og indsats, jobafklaringsforløb, arbejdsløshedsdagpenge under sygdom m.v.) foretages følgende ændringer:";"720";"2014";"Lov om ændring af lov om sygedagpenge, lov om en aktiv beskæftigelsesindsats, lov om ansvaret for og styringen af den aktive beskæftigelsesindsats, lov om arbejdsløshedsforsikring m.v. og forskellige andre love (Ny sygedagpengemodel med tidlig opfølgning og indsats, jobafklaringsforløb, arbejdsløshedsdagpenge under sygdom m.v.)";"lov"
"I lov nr. 597 af 12. juni 2013 om investeringsforeninger m.v., som ændret ved § 7 i lov nr. 268 af 25. marts 2014 og § 9 i lov nr. 403 af 28. april 2014, foretages følgende ændringer:";"597";"2013";"Lov om investeringsforeninger m.v.";"lov"
"I lov nr. 598 af 12. juni 2013 om forvaltere af alternative investeringsfonde m.v., som ændret ved § 4 i lov nr. 268 af 25. marts 2014, § 4 i lov nr. 403 af 28. april 2014 og § 13 i lov nr. 1285 af 9. december 2014, foretages følgende ændringer:";"598";"2013";"Lov om forvaltere af alternative investeringsfonde m.v.";"lov"
"I lov nr. 697 af 25. juni 2010 om pantebrevsselskaber, som ændret senest ved § 12 i lov nr. 403 af 28. april 2014, foretages følgende ændring:";"697";"2010";"Lov om pantebrevsselskaber, som ændret senest ved § 12 i lov nr. 403 af 28. april 2014,";"lov"
"I lov nr. 268 af 25. marts 2014 om ændring af lov om finansiel virksomhed og forskellige andre love (Gennemførelse af kreditinstitut- og kapitalkravsdirektiv (CRD IV) og ændringer som følge af den tilhørende forordning (CRR) samt lovgivning vedrørende SIFI’er m.v.) foretages følgende ændring:";"268";"2014";"Lov om ændring af lov om finansiel virksomhed og forskellige andre love (Gennemførelse af kreditinstitut- og kapitalkravsdirektiv (CRD IV) og ændringer som følge af den tilhørende forordning (CRR) samt lovgivning vedrørende SIFI’er m.v.)";"lov"
"I lov nr. 1095 af 28. november 2012 om CO 2 -kvoter foretages følgende ændringer:";"1095";"2012";"Lov om CO 2 -kvoter";"lov"
"I lov nr. 607 af 12. juni 2013 om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser foretages følgende ændringer:";"607";"2013";"Lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser";"lov"
"I lov nr. 576 af 18. juni 2012 om ændring af lov om fremme af vedvarende energi, lov om elforsyning, lov om naturgasforsyning og lov om Energinet.dk (Støtte til vindmøller på land, biogas og eksisterende industrielle kraftvarmeværker samt forlængelse af puljen til nye VE-teknologier m.v.), som ændret ved § 5 i lov nr. 1390 af 23. december 2012, § 5 i lov nr. 641 af 12. juni 2013 og § 12 i lov nr. 903 af 4. juli 2013, foretages følgende ændring:";"576";"2012";"Lov om ændring af lov om fremme af vedvarende energi, lov om elforsyning, lov om naturgasforsyning og lov om Energinet.dk (Støtte til vindmøller på land, biogas og eksisterende industrielle kraftvarmeværker samt forlængelse af puljen til nye VE-teknologier m.v.)";"lov"
"I lov nr. 86 af 28. januar 2014 om ændring af lov om Natur- og Miljøklagenævnet og forskellige andre love (Obligatorisk digital selvbetjening ved indgivelse af klage samt obligatorisk videresendelse af klage over lokalplan til Natur- og Miljøklagenævnet m.v.) foretages følgende ændring:";"86";"2014";"Lov om ændring af lov om Natur- og Miljøklagenævnet og forskellige andre love (Obligatorisk digital selvbetjening ved indgivelse af klage samt obligatorisk videresendelse af klage over lokalplan til Natur- og Miljøklagenævnet m.v.)";"lov"
"I lov nr. 1631 af 26. december 2013 om ændring af lov om vandforsyning m.v., lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer og forskellige andre love (Konsekvensændringer som følge af lov om vandplanlægning) foretages følgende ændring:";"1631";"2013";"Lov om ændring af lov om vandforsyning m.v., lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer og forskellige andre love (Konsekvensændringer som følge af lov om vandplanlægning)";"lov"
"I lov nr. 922 af 18. september 2012 om ændring af pensionsbeskatningsloven og forskellige andre love (Afskaffelse af fradragsret m.v. for indbetalinger til kapitalpension), som ændret ved § 24 i lov nr. 1354 af 21. december 2012 og § 10 i lov nr. 792 af 28. juni 2013, foretages følgende ændring:";"922";"2012";"Lov om ændring af pensionsbeskatningsloven og forskellige andre love (Afskaffelse af fradragsret m.v. for indbetalinger til kapitalpension)";"lov"
"I lov nr. 1354 af 21. december 2012 om ændring af skattekontrolloven, kildeskatteloven og forskellige andre love (Udvidelse af årsopgørelsesordningen, indberetning af udbytter m.v.), som ændret ved § 11 i lov nr. 792 af 28. juni 2013, foretages følgende ændring:";"1354";"2012";"Lov om ændring af skattekontrolloven, kildeskatteloven og forskellige andre love (Udvidelse af årsopgørelsesordningen, indberetning af udbytter m.v.)";"lov"
"I lov nr. 551 af 18. juni 2012 om afgift af skadesforsikringer, som ændret ved § 10 i lov nr. 1353 af 21. december 2012, foretages følgende ændringer:";"551";"2012";"Lov om afgift af skadesforsikringer";"lov"
"I lov nr. 416 af 26. juni 1998 om afgift af antibiotika og vækstfremmere anvendt i foderstoffer, som ændret senest ved § 2 i lov nr. 554 af 2. juni 2014, foretages følgende ændring:";"416";"1998";"Lov om afgift af antibiotika og vækstfremmere anvendt i foderstoffer, som ændret senest ved § 2 i lov nr. 554 af 2. juni 2014,";"lov"
