#TYPE Selected.System.Text.RegularExpressions.Match
"Value";"Number";"Year";"Title";"DocType"
"I lov nr. 894 af 4. juli 2013 om ændring af lov om aktiv socialpolitik, SU-loven, lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love (Reform af kontanthjælpssystemet, uddannelseshjælp for unge, aktivitetstillæg, gensidig forsørgelsespligt mellem samlevende, ændrede rådighedskrav og sanktioner m.v.) foretages følgende ændring:";"894";"2013";"om ændring af lov om aktiv socialpolitik, SU-loven, lov om børnetilskud og forskudsvis udbetaling af børnebidrag og forskellige andre love (Reform af kontanthjælpssystemet, uddannelseshjælp for unge, aktivitetstillæg, gensidig forsørgelsespligt mellem samlevende, ændrede rådighedskrav og sanktioner m.v.) foretages følgende ændring";"lov"
"I lov nr. 1522 af 27. december 2014 om ændring af lov om aktiv socialpolitik, lov om individuel boligstøtte og kildeskatteloven (Ophævelse af gensidig forsørgelsespligt for samlevende, afskaffelse af laveste forsørgersats, højere boligsikring til unge par med børn, særlig støtte for unge under 30 år, ingen fradrag for lejeindtægter fra logerende i egen bolig m.v.) foretages følgende ændringer:";"1522";"2014";"om ændring af lov om aktiv socialpolitik, lov om individuel boligstøtte og kildeskatteloven (Ophævelse af gensidig forsørgelsespligt for samlevende, afskaffelse af laveste forsørgersats, højere boligsikring til unge par med børn, særlig støtte for unge under 30 år, ingen fradrag for lejeindtægter fra logerende i egen bolig m.v.) foretages følgende ændringer";"lov"
"I lov nr. 994 af 30. august 2015 om kommunernes finansiering af visse offentlige ydelser udbetalt af kommunerne, Udbetaling Danmark og arbejdsløshedskasserne foretages følgende ændringer:";"994";"2015";"om kommunernes finansiering af visse offentlige ydelser udbetalt af kommunerne, Udbetaling Danmark og arbejdsløshedskasserne foretages følgende ændringer";"lov"
"I lov nr. 577 af 4. maj 2015 om ændring af lov om elforsyning (Justering og udskydelse af engrosmodellen og udskydelse af leveringspligten) foretages følgende ændring:";"577";"2015";"om ændring af lov om elforsyning (Justering og udskydelse af engrosmodellen og udskydelse af leveringspligten) foretages følgende ændring";"lov"
"I lov nr. 744 af 1. juni 2015 om ændring af lov om fremme af vedvarende energi, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser og lov om elforsyning (Ny ansøgningsprocedure og grænse på 500 kW for støtte til bl.a. solcelleanlæg og husstandsvindmøller, investeringstilskud og driftsstøtte til kraft-varme-værker, afregningsvilkår for Horns Rev 3 og ophævelse af treledstariffen m.v.) foretages følgende ændringer:";"744";"2015";"om ændring af lov om fremme af vedvarende energi, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser og lov om elforsyning (Ny ansøgningsprocedure og grænse på 500 kW for støtte til bl.a. solcelleanlæg og husstandsvindmøller, investeringstilskud og driftsstøtte til kraft-varme-værker, afregningsvilkår for Horns Rev 3 og ophævelse af treledstariffen m.v.) foretages følgende ændringer";"lov"
"I lov nr. 739 af 25. juni 2014 om ændring af straffeloven, lov om fuldbyrdelse af straf m.v., retsplejeloven og lov om Offerfonden (Reorganisering af kriminalforsorgen, herunder begrænsning af klageadgangen) foretages følgende ændring:";"739";"2014";"om ændring af straffeloven, lov om fuldbyrdelse af straf m.v., retsplejeloven og lov om Offerfonden (Reorganisering af kriminalforsorgen, herunder begrænsning af klageadgangen) foretages følgende ændring";"lov"
"I lov nr. 457 af 14. maj 2014 om ændring af færdselsloven (Skærpet indsats mod kørsel i påvirket tilstand m.v.) foretages følgende ændring:";"457";"2014";"om ændring af færdselsloven (Skærpet indsats mod kørsel i påvirket tilstand m.v.) foretages følgende ændring";"lov"
"I lov nr. 432 af 16. maj 2012 om Aarhus Letbane foretages følgende ændringer:";"432";"2012";"om Aarhus Letbane foretages følgende ændringer";"lov"
"I lov nr. 552 af 6. juni 2007 om en Cityring, som ændret ved § 1 i lov nr. 526 af 27. maj 2013, § 1 i lov nr. 748 af 25. juni 2014 og § 160 i lov nr. 1520 af 27. december 2014, foretages følgende ændringer:";"552";"2007";"om en Cityring, som ændret ved § 1 i lov nr. 526 af 27. maj 2013, § 1 i lov nr. 748 af 25. juni 2014 og § 160 i lov nr. 1520 af 27. december 2014, foretages følgende ændringer";"lov"
"I lov nr. 551 af 6. juni 2007 om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S, som ændret ved § 1 i lov nr. 632 af 14. juni 2011, § 2 i lov nr. 526 af 27. maj 2013 og § 27 i lov nr. 165 af 26. februar 2014, foretages følgende ændringer:";"551";"2007";"om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S, som ændret ved § 1 i lov nr. 632 af 14. juni 2011, § 2 i lov nr. 526 af 27. maj 2013 og § 27 i lov nr. 165 af 26. februar 2014, foretages følgende ændringer";"lov"
